epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.6164,0.44027,2.22974,0.91358,0.93424,0.45551,0.76189,0.72512,0.32362,2.13602,0.83052,0.000375,0.000375,0.000375
2,197.629,0.4011,1.01082,0.87871,0.81615,0.67847,0.87961,0.79788,0.41687,1.81476,0.86984,0.000747403,0.000747403,0.000747403
3,326.45,0.40932,0.92044,0.88761,0.89343,0.8941,0.96577,0.89051,0.38787,1.41855,0.84793,0.00110446,0.00110446,0.00110446
4,467.491,0.39007,0.84917,0.87827,0.87308,0.98129,0.95577,0.86005,0.40311,1.15205,0.8581,0.00117575,0.00117575,0.00117575
5,595.81,0.39059,0.80385,0.87782,0.96132,0.97699,0.98455,0.92735,0.37263,0.83861,0.83235,0.001151,0.001151,0.001151
6,683.741,0.35918,0.7504,0.87188,0.89278,0.87936,0.95242,0.89536,0.37298,0.9327,0.84888,0.00112625,0.00112625,0.00112625
7,776.678,0.35605,0.71995,0.86948,0.92522,0.95619,0.96963,0.89422,0.3741,0.84257,0.84331,0.0011015,0.0011015,0.0011015
8,873.398,0.35151,0.69351,0.86839,0.96948,0.99219,0.98646,0.94142,0.35244,0.65007,0.84802,0.00107675,0.00107675,0.00107675
9,966.417,0.34842,0.64089,0.86901,0.94406,0.98429,0.98185,0.93446,0.31631,0.68107,0.84169,0.001052,0.001052,0.001052
10,1122.59,0.33061,0.61796,0.86385,0.97908,0.97518,0.97742,0.93031,0.33123,0.66008,0.82546,0.00102725,0.00102725,0.00102725
11,1275.13,0.33587,0.59021,0.86256,0.95899,0.95163,0.97686,0.94612,0.33636,0.63143,0.84628,0.0010025,0.0010025,0.0010025
12,1395.05,0.32604,0.56508,0.85902,0.97888,0.98677,0.98597,0.94184,0.32353,0.56714,0.82558,0.00097775,0.00097775,0.00097775
13,1460.64,0.33206,0.54075,0.86887,0.96915,0.99219,0.97728,0.94497,0.28968,0.55411,0.81436,0.000953,0.000953,0.000953
14,1591.02,0.31837,0.52048,0.85707,0.98138,0.99213,0.9752,0.93769,0.27783,0.48898,0.80888,0.00092825,0.00092825,0.00092825
15,1717.1,0.31179,0.49324,0.85518,0.97852,0.99219,0.99251,0.96908,0.27298,0.46694,0.80266,0.0009035,0.0009035,0.0009035
16,1868.37,0.30265,0.45252,0.84542,0.98077,0.99219,0.99299,0.96965,0.25736,0.45745,0.80301,0.00087875,0.00087875,0.00087875
17,1994.84,0.31253,0.47037,0.86062,0.97455,0.99807,0.9921,0.9653,0.28185,0.43585,0.82217,0.000854,0.000854,0.000854
18,2132.42,0.29366,0.45878,0.85202,0.97645,0.99202,0.99335,0.97141,0.25905,0.41094,0.80755,0.00082925,0.00082925,0.00082925
19,2261.57,0.28557,0.42254,0.85018,0.98859,0.99103,0.99456,0.95366,0.3009,0.40188,0.83604,0.0008045,0.0008045,0.0008045
20,2375.86,0.29181,0.40361,0.85208,0.9776,0.99219,0.98957,0.96671,0.25406,0.40346,0.8048,0.00077975,0.00077975,0.00077975
21,2510.9,0.2931,0.44845,0.85236,0.97582,0.99219,0.98932,0.94535,0.3127,0.41809,0.85881,0.000755,0.000755,0.000755
22,2633.11,0.2847,0.41326,0.85299,0.98036,0.99219,0.98826,0.96023,0.27907,0.37506,0.82852,0.00073025,0.00073025,0.00073025
23,2699.24,0.2719,0.38493,0.84405,0.99429,0.99219,0.99477,0.96027,0.26328,0.37235,0.8234,0.0007055,0.0007055,0.0007055
24,2765.82,0.28121,0.38838,0.84539,0.99293,0.99062,0.99008,0.95463,0.27595,0.381,0.83085,0.00068075,0.00068075,0.00068075
25,2873.75,0.28101,0.37324,0.85563,0.99546,0.98893,0.99026,0.96057,0.26904,0.35799,0.82793,0.000656,0.000656,0.000656
26,3033.56,0.276,0.37025,0.84483,0.99377,0.98438,0.99085,0.96708,0.25006,0.34219,0.83165,0.00063125,0.00063125,0.00063125
27,3193.11,0.26778,0.3575,0.84749,0.99674,0.99219,0.99335,0.96846,0.25703,0.32576,0.83412,0.0006065,0.0006065,0.0006065
28,3351.83,0.25376,0.33005,0.84056,0.99653,0.99219,0.99295,0.97222,0.24494,0.32785,0.81285,0.00058175,0.00058175,0.00058175
29,3511.1,0.25533,0.33811,0.83746,0.99626,0.99219,0.99382,0.96289,0.24597,0.32612,0.81444,0.000557,0.000557,0.000557
30,3669.78,0.25467,0.33412,0.83968,0.99314,0.99219,0.99477,0.96658,0.25676,0.29883,0.8397,0.00053225,0.00053225,0.00053225
31,3829.34,0.25492,0.31998,0.84766,0.99303,0.99138,0.99399,0.96552,0.25814,0.31322,0.83781,0.0005075,0.0005075,0.0005075
32,3987.94,0.24658,0.31704,0.83757,0.99649,0.99219,0.99417,0.95845,0.27467,0.32283,0.84354,0.00048275,0.00048275,0.00048275
33,4146.35,0.24793,0.32204,0.83998,0.99633,0.98545,0.98985,0.96567,0.24465,0.3136,0.81066,0.000458,0.000458,0.000458
