epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.25697,0.23949,0.31874,0.83653,0.99397,0.99219,0.99157,0.96748,0.26036,0.28076,0.81679,0.000404412,0.000404412,0.000404412
2,12.3995,0.26699,0.33916,0.83982,0.98913,0.97476,0.98609,0.96146,0.2903,0.33391,0.84176,0.000804821,0.000804821,0.000804821
3,16.1761,0.28545,0.41912,0.84629,0.99627,0.97807,0.98985,0.94823,0.3346,0.3518,0.84029,0.00118873,0.00118873,0.00118873
4,19.8522,0.2888,0.39269,0.84231,0.98792,0.99132,0.98768,0.94984,0.30913,0.31708,0.83975,0.00117575,0.00117575,0.00117575
5,23.4642,0.30203,0.40422,0.84863,0.95042,0.96256,0.97478,0.94775,0.29105,0.38588,0.8121,0.001151,0.001151,0.001151
6,27.0308,0.30841,0.39892,0.85834,0.97286,0.95792,0.98415,0.93716,0.36922,0.38623,0.8735,0.00112625,0.00112625,0.00112625
7,30.6101,0.31039,0.42582,0.85597,0.9654,0.96409,0.98734,0.94753,0.32929,0.39831,0.85526,0.0011015,0.0011015,0.0011015
8,34.4859,0.30059,0.38405,0.86099,0.94117,0.89173,0.95371,0.92177,0.3257,0.60007,0.8432,0.00107675,0.00107675,0.00107675
9,38.1144,0.31174,0.37275,0.8596,0.9596,0.99219,0.98662,0.95202,0.3199,0.3121,0.84763,0.001052,0.001052,0.001052
10,41.7719,0.3012,0.37021,0.85431,0.99427,0.99219,0.9875,0.95827,0.27545,0.29977,0.828,0.00102725,0.00102725,0.00102725
11,45.307,0.28972,0.34601,0.84472,0.99503,0.98479,0.99417,0.95734,0.29469,0.30095,0.83013,0.0010025,0.0010025,0.0010025
12,48.9438,0.28755,0.33691,0.85034,0.96841,0.98232,0.99393,0.95865,0.28825,0.31133,0.83306,0.00097775,0.00097775,0.00097775
13,52.8842,0.28775,0.32687,0.84796,0.99091,0.98676,0.99321,0.96818,0.25552,0.26507,0.82292,0.000953,0.000953,0.000953
14,56.7328,0.29942,0.33929,0.85397,0.99434,0.99219,0.9875,0.95864,0.2675,0.28937,0.81498,0.00092825,0.00092825,0.00092825
15,60.3371,0.28608,0.34287,0.85049,0.99433,0.99219,0.99399,0.96067,0.29446,0.27596,0.85242,0.0009035,0.0009035,0.0009035
16,63.8728,0.27639,0.3199,0.8449,0.98283,0.99219,0.99335,0.96194,0.29873,0.28218,0.86574,0.00087875,0.00087875,0.00087875
17,67.624,0.28201,0.33095,0.85736,0.99329,0.98748,0.99436,0.95529,0.28929,0.26236,0.83816,0.000854,0.000854,0.000854
18,71.399,0.27373,0.30848,0.84122,0.99504,0.98438,0.99455,0.96644,0.25429,0.26598,0.81444,0.00082925,0.00082925,0.00082925
19,74.9503,0.28313,0.30777,0.85041,0.9875,0.99052,0.99179,0.96194,0.27263,0.27628,0.83471,0.0008045,0.0008045,0.0008045
20,78.6381,0.26264,0.31346,0.83589,0.99644,0.99219,0.9875,0.94721,0.30767,0.28348,0.87344,0.00077975,0.00077975,0.00077975
21,82.2232,0.26279,0.30124,0.84577,0.99374,0.99219,0.99066,0.97063,0.23943,0.26768,0.80501,0.000755,0.000755,0.000755
22,85.8512,0.2566,0.28232,0.83965,0.99391,0.99219,0.99164,0.96834,0.25787,0.26294,0.80728,0.00073025,0.00073025,0.00073025
23,89.4109,0.25869,0.27525,0.84285,0.99568,0.99219,0.99436,0.96821,0.25562,0.25322,0.81486,0.0007055,0.0007055,0.0007055
24,93.0099,0.25161,0.27806,0.83704,0.9959,0.99251,0.995,0.97187,0.2395,0.22945,0.80599,0.00068075,0.00068075,0.00068075
25,97.411,0.25574,0.27566,0.84136,0.98966,0.99219,0.995,0.97235,0.24712,0.22354,0.8166,0.000656,0.000656,0.000656
26,103.007,0.25724,0.26912,0.8369,0.9961,0.99219,0.99436,0.97183,0.23759,0.22015,0.82062,0.00063125,0.00063125,0.00063125
27,108.496,0.24575,0.25893,0.83529,0.99322,0.99765,0.995,0.96971,0.2471,0.21574,0.82714,0.0006065,0.0006065,0.0006065
28,113.94,0.2529,0.2647,0.83626,0.99619,0.99269,0.995,0.96121,0.25021,0.23201,0.82708,0.00058175,0.00058175,0.00058175
29,119.128,0.25396,0.27355,0.83485,0.99537,0.99219,0.99365,0.96396,0.22718,0.22952,0.80408,0.000557,0.000557,0.000557
30,124.387,0.23786,0.25455,0.83558,0.9965,0.99219,0.99335,0.96372,0.23942,0.22639,0.80724,0.00053225,0.00053225,0.00053225
31,129.437,0.24009,0.25316,0.83638,0.99581,0.99219,0.99125,0.96403,0.22371,0.22569,0.80797,0.0005075,0.0005075,0.0005075
32,134.553,0.2442,0.25673,0.8324,0.99607,0.99219,0.99456,0.96818,0.23221,0.22231,0.82676,0.00048275,0.00048275,0.00048275
33,139.823,0.23308,0.24509,0.83393,0.9861,0.99303,0.99455,0.97072,0.21663,0.20861,0.80713,0.000458,0.000458,0.000458
34,144.844,0.22169,0.23604,0.82343,0.99682,0.99309,0.995,0.96845,0.2132,0.21153,0.80932,0.00043325,0.00043325,0.00043325
35,150.01,0.24235,0.24063,0.8428,0.99711,0.99329,0.995,0.97012,0.21157,0.20498,0.81037,0.0004085,0.0004085,0.0004085
36,155.144,0.22918,0.23353,0.83651,0.98029,0.99647,0.99455,0.96819,0.23616,0.22512,0.82325,0.00038375,0.00038375,0.00038375
37,160.438,0.22659,0.23133,0.83141,0.98993,0.97569,0.99386,0.96193,0.24933,0.24666,0.83282,0.000359,0.000359,0.000359
38,165.944,0.22917,0.22747,0.82956,0.98008,0.989,0.99432,0.97048,0.21823,0.21916,0.81473,0.00033425,0.00033425,0.00033425
39,171.086,0.21995,0.22506,0.82982,0.99027,0.99219,0.99456,0.97079,0.21337,0.20084,0.80919,0.0003095,0.0003095,0.0003095
40,176.205,0.22027,0.21372,0.83227,0.99065,0.98438,0.99455,0.9721,0.22076,0.20117,0.80678,0.00028475,0.00028475,0.00028475
41,202.298,0.16138,0.17553,0.79126,0.98488,0.99219,0.99456,0.96694,0.21904,0.20624,0.81414,0.00026,0.00026,0.00026
42,206.178,0.16967,0.17553,0.79471,0.99707,0.99219,0.99399,0.97099,0.2153,0.22869,0.81159,0.00023525,0.00023525,0.00023525
43,210.375,0.16653,0.18152,0.78845,0.99683,0.99219,0.99399,0.97669,0.20867,0.20682,0.81298,0.0002105,0.0002105,0.0002105
44,215.588,0.1584,0.17463,0.78917,0.98663,0.99109,0.98703,0.96779,0.20641,0.21336,0.80965,0.00018575,0.00018575,0.00018575
45,221.62,0.15098,0.15855,0.7841,0.97988,0.99134,0.98727,0.96723,0.20086,0.21059,0.81412,0.000161,0.000161,0.000161
46,227.479,0.14894,0.16178,0.78744,0.99492,0.99172,0.99212,0.97109,0.19776,0.1968,0.81353,0.00013625,0.00013625,0.00013625
